cruise,cast,niskin,station,data_check,sd_5_total,CV_5_tot,sd_20_total,CV_20_tot,size,mean_npp,depth_category,sd_npp,depth,depth_grp,latitude,longitude,temp_check,temp
EN649,12,17,L10,A,NA,NA,NA,NA,less5,0.007,D3,NA,16.856,"(16.5,18]",39.93818,-70.89964,Good,13.68875
EN649,12,17,L10,A,NA,NA,NA,NA,between520,5.397,NA,NA,16.856,"(16.5,18]",39.93818,-70.89964,Good,13.68875
EN649,12,17,L10,A,NA,NA,NA,NA,greater20,0.054,NA,NA,16.856,"(16.5,18]",39.93818,-70.89964,Good,13.68875
EN649,12,21,L10,A,NA,NA,NA,NA,total,6.408,D4,NA,4.962,"(3,4.5]",39.93796,-70.9003,Good,13.67951429
EN649,12,21,L10,A,NA,NA,NA,NA,less20,5.692,D4,NA,4.962,"(3,4.5]",39.93796,-70.9003,Good,13.67951429
EN649,12,21,L10,A,NA,NA,NA,NA,less5,3.676,D4,NA,4.962,"(3,4.5]",39.93796,-70.9003,Good,13.67951429
EN649,12,21,L10,A,NA,NA,NA,NA,between520,2.016,NA,NA,4.962,"(3,4.5]",39.93796,-70.9003,Good,13.67951429
EN649,12,21,L10,A,NA,NA,NA,NA,greater20,0.716,NA,NA,4.962,"(3,4.5]",39.93796,-70.9003,Good,13.67951429
EN649,19,6,L6,A,NA,NA,NA,NA,total,0.223,D1,NA,49.548,"(48,49.5]",40.35014,-70.8829,Good,7.876
EN649,19,6,L6,A,NA,NA,NA,NA,less20,0.167,D1,NA,49.548,"(48,49.5]",40.35014,-70.8829,Good,7.876
EN649,19,6,L6,A,NA,NA,NA,NA,less5,0.067,D1,NA,49.548,"(48,49.5]",40.35014,-70.8829,Good,7.876
EN649,19,6,L6,A,NA,NA,NA,NA,between520,0.1,NA,NA,49.548,"(48,49.5]",40.35014,-70.8829,Good,7.876
EN649,19,6,L6,A,NA,NA,NA,NA,greater20,0.056,NA,NA,49.548,"(48,49.5]",40.35014,-70.8829,Good,7.876
EN649,19,11,L6,A,NA,NA,NA,NA,total,5.422,D2,NA,35.089,"(33,34.5]",40.34952,-70.88294,Good,7.66212
EN649,19,11,L6,A,NA,NA,NA,NA,less20,3.024,D2,NA,35.089,"(33,34.5]",40.34952,-70.88294,Good,7.66212
EN649,19,11,L6,A,NA,NA,NA,NA,less5,1.573,D2,NA,35.089,"(33,34.5]",40.34952,-70.88294,Good,7.66212
EN649,19,11,L6,A,NA,NA,NA,NA,between520,1.451,NA,NA,35.089,"(33,34.5]",40.34952,-70.88294,Good,7.66212
EN649,19,11,L6,A,NA,NA,NA,NA,greater20,2.398,NA,NA,35.089,"(33,34.5]",40.34952,-70.88294,Good,7.66212
EN649,19,16,L6,A,NA,NA,NA,NA,total,2.015,D3,NA,14.664,"(13.5,15]",40.34898,-70.88298,Good,7.59464
EN649,19,16,L6,A,NA,NA,NA,NA,less20,1.561,D3,NA,14.664,"(13.5,15]",40.34898,-70.88298,Good,7.59464
EN649,19,16,L6,A,NA,NA,NA,NA,less5,1.194,D3,NA,14.664,"(13.5,15]",40.34898,-70.88298,Good,7.59464
EN649,19,16,L6,A,NA,NA,NA,NA,between520,0.367,NA,NA,14.664,"(13.5,15]",40.34898,-70.88298,Good,7.59464
EN649,19,16,L6,A,NA,NA,NA,NA,greater20,0.454,NA,NA,14.664,"(13.5,15]",40.34898,-70.88298,Good,7.59464
EN649,19,21,L6,A,NA,NA,NA,NA,total,11.826,D4,NA,3.98,"(1.5,3]",40.34854,-70.88292,Good,7.5993375
EN649,19,21,L6,A,NA,NA,NA,NA,less20,11.317,D4,NA,3.98,"(1.5,3]",40.34854,-70.88292,Good,7.5993375
EN649,19,21,L6,A,NA,NA,NA,NA,less5,4.67,D4,NA,3.98,"(1.5,3]",40.34854,-70.88292,Good,7.5993375
EN649,19,21,L6,A,NA,NA,NA,NA,between520,6.647,NA,NA,3.98,"(1.5,3]",40.34854,-70.88292,Good,7.5993375
EN649,19,21,L6,A,NA,NA,NA,NA,greater20,0.509,NA,NA,3.98,"(1.5,3]",40.34854,-70.88292,Good,7.5993375
EN649,21,7,L4,A,NA,NA,NA,NA,total,0.513,D1,NA,37.397,"(36,37.5]",40.69957,-70.8829,Good,6.034875
EN649,21,7,L4,A,NA,NA,NA,NA,less20,0.16,D1,NA,37.397,"(36,37.5]",40.69957,-70.8829,Good,6.034875
EN649,21,7,L4,A,NA,NA,NA,NA,less5,0.138,D1,NA,37.397,"(36,37.5]",40.69957,-70.8829,Good,6.034875
EN649,21,7,L4,A,NA,NA,NA,NA,between520,0.022,NA,NA,37.397,"(36,37.5]",40.69957,-70.8829,Good,6.034875
EN649,21,7,L4,A,NA,NA,NA,NA,greater20,0.353,NA,NA,37.397,"(36,37.5]",40.69957,-70.8829,Good,6.034875
EN649,21,14,L4,A,NA,NA,NA,NA,total,5.663,D2,NA,15.371,"(13.5,15]",40.70074,-70.88314,Good,5.5567
EN649,21,14,L4,A,NA,NA,NA,NA,less20,2.11,D2,NA,15.371,"(13.5,15]",40.70074,-70.88314,Good,5.5567
EN649,21,14,L4,A,NA,NA,NA,NA,less5,1.12,D2,NA,15.371,"(13.5,15]",40.70074,-70.88314,Good,5.5567
EN649,21,14,L4,A,NA,NA,NA,NA,between520,0.99,NA,NA,15.371,"(13.5,15]",40.70074,-70.88314,Good,5.5567
EN649,21,14,L4,A,NA,NA,NA,NA,greater20,3.553,NA,NA,15.371,"(13.5,15]",40.70074,-70.88314,Good,5.5567
EN649,21,20,L4,A,NA,NA,NA,NA,total,9.046,D3,NA,3.196,"(1.5,3]",40.70122,-70.88348,Good,5.556222222
EN649,21,20,L4,A,NA,NA,NA,NA,less20,4.209,D3,NA,3.196,"(1.5,3]",40.70122,-70.88348,Good,5.556222222
EN649,21,20,L4,A,NA,NA,NA,NA,less5,2.276,D3,NA,3.196,"(1.5,3]",40.70122,-70.88348,Good,5.556222222
EN649,21,20,L4,A,NA,NA,NA,NA,between520,1.933,NA,NA,3.196,"(1.5,3]",40.70122,-70.88348,Good,5.556222222
EN649,21,20,L4,A,NA,NA,NA,NA,greater20,4.837,NA,NA,3.196,"(1.5,3]",40.70122,-70.88348,Good,5.556222222
EN655,2,6,L2,A,NA,NA,NA,NA,total,6.842,D1,NA,30.206,"(28.5,30]",41.03038,-70.87818,Good,11.232875
EN655,2,6,L2,A,NA,NA,NA,NA,less20,4.101,D1,NA,30.206,"(28.5,30]",41.03038,-70.87818,Good,11.232875
EN655,2,6,L2,A,NA,NA,NA,NA,less5,1.003,D1,NA,30.206,"(28.5,30]",41.03038,-70.87818,Good,11.232875
