cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
EN608,19,15,3.722314662,0.800474151,0.517982174,1.7104213745,0.01437506225430824,0.0014477021395300493,0.24427882548396945,0.0021501342377861807,2018-02-03T18:17:18Z,39.76352,-70.8898,"(22.5,24]",24.829
EN608,19,18,4.57437492,1.188827527,0.4555903375,1.726554493,0.01617750572382392,0.035394243367321464,0.16946552230615167,0.035716481119896344,2018-02-03T18:20:11Z,39.7632,-70.88985,"(1.5,3]",4.273
EN608,21,1,22.156513885000003,1.1500128324999999,1.5124874744999999,13.19381039,0.020843846208443963,0.0036192560559320415,0.13763202261572574,0.031535307811051405,2018-02-03T22:50:27Z,39.9304,-70.8875,"(454,456]",456.167
EN608,21,3,22.710490265,0.983905529,1.5362880385,12.00132995,1.556100513070476,0.06116542600174808,0.13907319603834517,0.8163343293517575,2018-02-03T22:56:36Z,39.9292,-70.88688,"(297,298]",298.193
EN608,21,5,13.248167165,0.8279888575000001,0.8532374345,5.433311869500001,0.10565670841769119,0.0021715539164019137,0.0684557181289848,0.03368543780619733,2018-02-03T23:07:06Z,39.92689,-70.8864,"(159,160]",159.789
EN608,21,9,7.470295202,0.9930770975000001,0.5648155420000001,3.2639907745,0.13692246995218316,0.00832428871651158,0.2673375938819188,0.04622788717306369,2018-02-03T23:10:51Z,39.92619,-70.88644,"(97.5,99]",99.487
EN608,21,11,4.787575658,1.1377840735,0.44376536050000004,1.5325375515,NA,0.06442275722990429,0.27454345887369536,0.3755567936350207,2018-02-03T23:13:44Z,39.92548,-70.88634,"(63,64.5]",64.781
EN608,21,14,4.6323098015,0.6944915775,0.4921342495,1.7494443215,0.024796982530102863,0.0032573305210494897,0.05980868042169548,0.010033960483442506,2018-02-03T23:16:31Z,39.92482,-70.88626,"(28.5,30]",30.552
EN608,21,16,4.5705592235,0.7859525005,0.491366489,1.7509646965,0.002156259196724931,0.002895404279060177,0.019095542369629417,0.04371939758253331,2018-02-03T23:18:35Z,39.92439,-70.88626,"(13.5,15]",14.54
EN608,21,19,4.387594549,0.8983042195,0.470892885,1.6445384774999998,0.2594698776500581,0.030401750586986145,0.09727917809609125,0.10535658189416514,2018-02-03T23:20:44Z,39.9239,-70.88616,"(4.5,6]",5.186
EN608,22,1,14.672242215,0.9230165020000001,0.970192896,7.14576041,0.19909461872754886,0.003257329813942729,0.04575724326346706,0.11324040743271478,2018-02-04T03:20:45Z,40.0841,-70.85508,"(146,147]",146.936
EN608,22,3,9.031339642999999,0.9920580345000001,0.6408237965,3.9595621335,0.024437606115166616,0.0028954049861669383,0.048279295869167516,0.005016979888167911,2018-02-04T03:23:32Z,40.08362,-70.85428,"(128,129]",130.533
EN608,22,5,7.149852903499999,1.1263196125000001,0.5484366595,3.1324783755,0.018687581354864313,0.001809628381519362,0.14735994092030963,0.0021501342377860237,2018-02-04T03:26:37Z,40.08298,-70.85335,"(99,100]",100.143
EN608,22,8,4.7596227209999995,1.2004564604999999,0.468333685,1.680520675,7.187528298731158e-4,0.0021715532092951525,0.10664680286824356,0,2018-02-04T03:29:28Z,40.08244,-70.85259,"(79.5,81]",80.987
EN608,22,10,4.685420381,0.902635238,0.470636965,1.6397239579999998,0.06828154712217688,0.0010857766046475763,0.010448503955233331,0.004658624535423556,2018-02-04T03:35:21Z,40.08139,-70.8508,"(58.5,60]",59.169
EN608,22,13,4.7560650745,0.9551169930000001,0.5358965769999999,1.988143127,0.03737516200262241,7.238510697650247e-4,0.08899243321412681,0.0107506718960379,2018-02-04T03:38:15Z,40.08084,-70.84986,"(40.5,42]",41.089
EN608,22,16,4.7931662445,0.9874722499999999,0.5476688995,2.0844335155,0.019406334184737428,0.001447702846636889,0.074940996763005,0.005016979888167597,2018-02-04T03:41:50Z,40.08024,-70.84886,"(18,19.5]",19.65
